[0.000000] (-) TimerEvent: {}
[0.000217] (-) JobUnselected: {'identifier': 'custom_nitros_dnn_image_encoder'}
[0.000315] (-) JobUnselected: {'identifier': 'custom_nitros_image'}
[0.000356] (-) JobUnselected: {'identifier': 'custom_nitros_message_filter'}
[0.000378] (-) JobUnselected: {'identifier': 'custom_nitros_message_filter_interfaces'}
[0.000464] (-) JobUnselected: {'identifier': 'custom_nitros_string'}
[0.000483] (-) JobUnselected: {'identifier': 'gxf_isaac_argus'}
[0.000498] (-) JobUnselected: {'identifier': 'gxf_isaac_atlas'}
[0.000515] (-) JobUnselected: {'identifier': 'gxf_isaac_cuda'}
[0.000538] (-) JobUnselected: {'identifier': 'gxf_isaac_flatscan_localization'}
[0.000554] (-) JobUnselected: {'identifier': 'gxf_isaac_gems'}
[0.000571] (-) JobUnselected: {'identifier': 'gxf_isaac_gxf_helpers'}
[0.000587] (-) JobUnselected: {'identifier': 'gxf_isaac_hesai'}
[0.000602] (-) JobUnselected: {'identifier': 'gxf_isaac_localization'}
[0.000616] (-) JobUnselected: {'identifier': 'gxf_isaac_message_compositor'}
[0.000632] (-) JobUnselected: {'identifier': 'gxf_isaac_messages'}
[0.000647] (-) JobUnselected: {'identifier': 'gxf_isaac_messages_throttler'}
[0.000663] (-) JobUnselected: {'identifier': 'gxf_isaac_optimizer'}
[0.000678] (-) JobUnselected: {'identifier': 'gxf_isaac_point_cloud'}
[0.000693] (-) JobUnselected: {'identifier': 'gxf_isaac_range_scan_processing'}
[0.000709] (-) JobUnselected: {'identifier': 'gxf_isaac_ros_cuda'}
[0.000725] (-) JobUnselected: {'identifier': 'gxf_isaac_ros_messages'}
[0.000739] (-) JobUnselected: {'identifier': 'gxf_isaac_segway'}
[0.000755] (-) JobUnselected: {'identifier': 'gxf_isaac_sight'}
[0.000770] (-) JobUnselected: {'identifier': 'gxf_isaac_timestamp_correlator'}
[0.000786] (-) JobUnselected: {'identifier': 'gxf_isaac_utils'}
[0.000801] (-) JobUnselected: {'identifier': 'isaac_ros_gxf'}
[0.000816] (-) JobUnselected: {'identifier': 'isaac_ros_managed_nitros'}
[0.000832] (-) JobUnselected: {'identifier': 'isaac_ros_nitros'}
[0.000847] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_april_tag_detection_array_type'}
[0.000862] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_battery_state_type'}
[0.000877] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_camera_info_type'}
[0.000893] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_image_type'}
[0.000908] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_compressed_video_type'}
[0.000923] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_correlated_timestamp_type'}
[0.000939] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection2_d_array_type'}
[0.000954] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_detection3_d_array_type'}
[0.000969] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_disparity_image_type'}
[0.000985] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_encoder_ticks_type'}
[0.001004] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_flat_scan_type'}
[0.001022] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_image_type'}
[0.001040] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_imu_type'}
[0.001059] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_interfaces'}
[0.001078] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_occupancy_grid_type'}
[0.001098] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_odometry_type'}
[0.001118] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_point_cloud_type'}
[0.001136] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_array_type'}
[0.001155] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_pose_cov_stamped_type'}
[0.001175] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_std_msg_type'}
[0.001260] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_tensor_list_type'}
[0.001295] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_topic_tools'}
[0.001315] (-) JobUnselected: {'identifier': 'isaac_ros_nitros_twist_type'}
[0.001333] (-) JobUnselected: {'identifier': 'isaac_ros_visual_slam'}
[0.001353] (-) JobUnselected: {'identifier': 'isaac_ros_visual_slam_interfaces'}
[0.001372] (-) JobUnselected: {'identifier': 'magic_enum'}
[0.001403] (-) JobUnselected: {'identifier': 'qcar2_autonomy'}
[0.001422] (-) JobUnselected: {'identifier': 'qcar2_interfaces'}
[0.001438] (-) JobUnselected: {'identifier': 'qcar2_nodes'}
[0.001455] (-) EventReactorShutdown: {}
