[0.000000] (-) TimerEvent: {}
[0.000332] (-) JobUnselected: {'identifier': 'qcar2_autonomy'}
[0.000355] (-) JobUnselected: {'identifier': 'qcar2_interfaces'}
[0.000369] (-) JobUnselected: {'identifier': 'qcar2_nodes'}
[0.000416] (-) JobUnselected: {'identifier': 'qcar2_perception'}
[0.000517] (-) JobUnselected: {'identifier': 'rtabmap'}
[0.000610] (-) JobUnselected: {'identifier': 'rtabmap_conversions'}
[0.000636] (-) JobUnselected: {'identifier': 'rtabmap_demos'}
[0.000655] (-) JobUnselected: {'identifier': 'rtabmap_examples'}
[0.000666] (-) JobUnselected: {'identifier': 'rtabmap_launch'}
[0.000700] (-) JobUnselected: {'identifier': 'rtabmap_msgs'}
[0.000755] (-) JobUnselected: {'identifier': 'rtabmap_odom'}
[0.000764] (-) JobUnselected: {'identifier': 'rtabmap_python'}
[0.000773] (-) JobUnselected: {'identifier': 'rtabmap_ros'}
[0.000781] (-) JobUnselected: {'identifier': 'rtabmap_rviz_plugins'}
[0.000788] (-) JobUnselected: {'identifier': 'rtabmap_slam'}
[0.000797] (-) JobUnselected: {'identifier': 'rtabmap_sync'}
[0.000805] (-) JobUnselected: {'identifier': 'rtabmap_util'}
[0.000813] (-) JobUnselected: {'identifier': 'rtabmap_viz'}
[0.000822] (-) EventReactorShutdown: {}
