epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2277,1.41288,1.6446,5.0303,0.9821,0,1,0.56647,0.91108,0.73755,1,0.56647,0.91108,0.67833,0.77983,0.59647,3.16663,0.93122,0,3.186e-05,3.186e-05,3.186e-05
2,40.3734,0.97375,1.03668,2.85535,0.90202,0,1,0.99915,0.995,0.91273,1,0.99915,0.995,0.79185,0.52558,0.43972,1.397,0.8856,0,6.16874e-05,6.16874e-05,6.16874e-05
3,57.4412,0.79432,0.91602,1.48261,0.84983,0,0.9967,1,0.995,0.89217,0.9967,1,0.995,0.84291,0.49725,0.55704,1.76512,0.87341,0,8.82439e-05,8.82439e-05,8.82439e-05
4,75.378,0.71386,0.82669,1.43177,0.84364,0,0.98744,1,0.995,0.85918,0.98744,1,0.995,0.77838,0.58719,0.66502,2.01208,0.87652,0,0.000100477,0.000100477,0.000100477
5,95.4426,0.85557,0.973,1.69362,0.84505,0,0.98744,1,0.995,0.85918,0.98744,1,0.995,0.77838,0.58719,0.66502,2.01208,0.87652,0,9.4636e-05,9.4636e-05,9.4636e-05
6,111.209,0.77124,0.8227,1.51197,0.84126,0,0.98138,1,0.995,0.82647,0.98138,1,0.995,0.79094,0.62194,0.6326,1.67664,0.88005,0,8.8795e-05,8.8795e-05,8.8795e-05
7,127.399,0.87782,0.84196,1.35367,0.83797,0,0.99011,1,0.995,0.82798,0.99011,1,0.995,0.81902,0.61381,0.51721,1.275,0.87946,0,8.2954e-05,8.2954e-05,8.2954e-05
8,147.208,0.81412,0.75177,1.06919,0.8372,0,1,0.99817,0.995,0.8683,1,0.99817,0.995,0.82865,0.55825,0.42943,1.0758,0.87602,0,7.7113e-05,7.7113e-05,7.7113e-05
9,169.586,0.76359,0.72179,1.4654,0.79634,0,1,0.99787,0.995,0.87729,1,0.99787,0.995,0.83145,0.49685,0.35403,1.07491,0.86654,0,7.1272e-05,7.1272e-05,7.1272e-05
10,188.263,0.6239,0.67083,1.16252,0.83293,0,0.99646,1,0.995,0.89396,0.99646,1,0.995,0.85609,0.46016,0.32228,1.10926,0.85905,0,6.5431e-05,6.5431e-05,6.5431e-05
11,211.053,0.60288,0.587,1.33199,0.81008,0,0.99564,1,0.995,0.87375,0.99564,1,0.995,0.8821,0.50237,0.33003,1.01916,0.86176,0,5.959e-05,5.959e-05,5.959e-05
12,231.897,0.60299,0.59305,1.23173,0.812,0,0.99619,1,0.995,0.87744,0.99619,1,0.995,0.84606,0.54404,0.31019,0.94283,0.86874,0,5.3749e-05,5.3749e-05,5.3749e-05
13,250.454,0.58673,0.52743,1.04971,0.79732,0,0.99619,1,0.995,0.87744,0.99619,1,0.995,0.84606,0.54404,0.31019,0.94283,0.86874,0,4.7908e-05,4.7908e-05,4.7908e-05
14,271.351,0.58349,0.57347,0.99574,0.7927,0,0.99639,1,0.995,0.87696,0.99639,1,0.995,0.84628,0.53295,0.28063,0.87173,0.86863,0,4.2067e-05,4.2067e-05,4.2067e-05
15,293.286,0.56046,0.4886,0.94716,0.82424,0,0.99661,1,0.995,0.89987,0.99661,1,0.995,0.87088,0.48999,0.25214,0.80877,0.86386,0,3.6226e-05,3.6226e-05,3.6226e-05
16,313.357,0.56682,0.57637,0.93149,0.82021,0,0.99679,1,0.995,0.91387,0.99679,1,0.995,0.89442,0.44871,0.24082,0.73838,0.85927,0,3.0385e-05,3.0385e-05,3.0385e-05
17,331.821,0.49523,0.54719,0.87328,0.80959,0,0.9968,1,0.995,0.92289,0.9968,1,0.995,0.90892,0.42657,0.23773,0.70705,0.85612,0,2.4544e-05,2.4544e-05,2.4544e-05
18,350.524,0.51783,0.52595,0.93068,0.81615,0,0.99692,1,0.995,0.91474,0.99692,1,0.995,0.90897,0.40738,0.23559,0.6829,0.85362,0,1.8703e-05,1.8703e-05,1.8703e-05
19,368.119,0.50558,0.57529,0.90564,0.80166,0,0.99696,1,0.995,0.92321,0.99696,1,0.995,0.91408,0.39747,0.23995,0.67351,0.85218,0,1.2862e-05,1.2862e-05,1.2862e-05
20,386.655,0.54241,0.58239,0.96106,0.79428,0,0.99698,1,0.995,0.92301,0.99698,1,0.995,0.90996,0.39619,0.24649,0.67007,0.85154,0,7.021e-06,7.021e-06,7.021e-06
